layer,module,rms_delta_diff,log10_rms_delta_diff,cos_delta_pc_vs_non,rms_delta_pc,rms_delta_non
-1,emb_wte,4.851834e-05,-4.314094,0.999990,1.073264e-02,1.073105e-02
-1,emb_wpe,1.626485e-04,-3.788750,0.994099,1.496382e-03,1.497832e-03
-1,ln_f,2.104335e-04,-3.676885,0.999654,7.991087e-03,7.977730e-03
0,attn_qkv,1.945631e-04,-3.710940,0.998254,3.293741e-03,3.287079e-03
0,attn_out,3.680631e-04,-3.434078,0.991297,2.794513e-03,2.758606e-03
0,mlp_in,1.665844e-04,-3.778366,0.998299,2.857481e-03,2.851218e-03
0,mlp_out,2.562356e-04,-3.591361,0.994123,2.364964e-03,2.340397e-03
0,ln_1,5.064166e-04,-3.295492,0.993044,4.299415e-03,4.255125e-03
0,ln_2,3.964007e-04,-3.401866,0.994072,3.637038e-03,3.587965e-03
1,attn_qkv,1.809589e-04,-3.742420,0.997950,2.827171e-03,2.819791e-03
1,attn_out,2.886554e-04,-3.539620,0.993995,2.636702e-03,2.612144e-03
1,mlp_in,1.979454e-04,-3.703455,0.997381,2.736212e-03,2.725314e-03
1,mlp_out,2.762273e-04,-3.558733,0.993581,2.440074e-03,2.413871e-03
1,ln_1,6.166172e-04,-3.209984,0.986538,3.744055e-03,3.620689e-03
1,ln_2,5.255895e-04,-3.279353,0.977237,2.464908e-03,2.355971e-03
2,attn_qkv,1.842284e-04,-3.734643,0.997866,2.821333e-03,2.814044e-03
2,attn_out,2.664333e-04,-3.574411,0.995253,2.737048e-03,2.718122e-03
2,mlp_in,1.826106e-04,-3.738474,0.997815,2.763437e-03,2.755142e-03
2,mlp_out,2.705830e-04,-3.567699,0.992992,2.287324e-03,2.259554e-03
2,ln_1,6.315977e-04,-3.199559,0.984207,3.540549e-03,3.406553e-03
2,ln_2,4.087798e-04,-3.388511,0.986897,2.528179e-03,2.468525e-03
3,attn_qkv,1.960263e-04,-3.707686,0.997447,2.744997e-03,2.735719e-03
