layer,module,rms_delta_diff,log10_rms_delta_diff,cos_delta_pc_vs_non,rms_delta_pc,rms_delta_non
-1,emb_wte,6.428941e-05,-4.191861,0.999982,1.075247e-02,1.075430e-02
-1,emb_wpe,1.270043e-04,-3.896182,0.996464,1.511219e-03,1.508377e-03
-1,ln_f,2.625451e-04,-3.580796,0.999463,8.012257e-03,8.000815e-03
0,attn_qkv,2.121314e-04,-3.673395,0.997930,3.297713e-03,3.285461e-03
0,attn_out,3.663384e-04,-3.436118,0.991359,2.787467e-03,2.740888e-03
0,mlp_in,1.482019e-04,-3.829146,0.998655,2.858003e-03,2.852495e-03
0,mlp_out,1.691188e-04,-3.771808,0.997375,2.335460e-03,2.332347e-03
0,ln_1,4.646607e-04,-3.332864,0.993943,4.226589e-03,4.188076e-03
0,ln_2,3.354371e-04,-3.474389,0.995616,3.585789e-03,3.564171e-03
1,attn_qkv,1.964608e-04,-3.706724,0.997588,2.829451e-03,2.817975e-03
1,attn_out,2.865694e-04,-3.542770,0.994012,2.621072e-03,2.595696e-03
1,mlp_in,1.898215e-04,-3.721655,0.997591,2.735836e-03,2.726532e-03
1,mlp_out,2.036873e-04,-3.691036,0.996452,2.420182e-03,2.411801e-03
1,ln_1,5.029220e-04,-3.298499,0.989907,3.544743e-03,3.485006e-03
1,ln_2,4.139221e-04,-3.383081,0.983782,2.307134e-03,2.260928e-03
2,attn_qkv,2.114918e-04,-3.674706,0.997191,2.822844e-03,2.810167e-03
2,attn_out,3.245519e-04,-3.488716,0.992982,2.743048e-03,2.713994e-03
2,mlp_in,1.929169e-04,-3.714630,0.997567,2.766925e-03,2.757051e-03
2,mlp_out,2.232938e-04,-3.651123,0.995176,2.275985e-03,2.264210e-03
2,ln_1,4.417840e-04,-3.354790,0.990909,3.280164e-03,3.229653e-03
2,ln_2,4.163563e-04,-3.380535,0.985546,2.457288e-03,2.413955e-03
3,attn_qkv,2.216681e-04,-3.654297,0.996740,2.746669e-03,2.732726e-03
3,attn_out,3.376342e-04,-3.471554,0.992403,2.743254e-03,2.712975e-03
3,mlp_in,1.944680e-04,-3.711152,0.997538,2.772664e-03,2.763177e-03
3,mlp_out,2.318931e-04,-3.634712,0.994765,2.269149e-03,2.255765e-03
3,ln_1,4.709553e-04,-3.327020,0.988831,3.159103e-03,3.113565e-03
3,ln_2,3.693378e-04,-3.432576,0.985475,2.174508e-03,2.135973e-03
4,attn_qkv,2.410079e-04,-3.617969,0.996301,2.803692e-03,2.787762e-03
